,Beta,Alpha,StderrA,StderrB
AAPL,1.2752537049923782,0.0034826095202123535,0.0029900552793381443,0.1151046248384618
MSFT,1.1744876797147412,0.0022813289772883956,0.002944819618925137,0.11336324107303797
GOOG,1.1988924844257407,0.001607216236576895,0.003787477092186616,0.14580203008049689
GOOGL,1.2165653632513946,0.0021379677927772806,0.00381098147895424,0.14670685068352746
AMZN,1.4828868640200779,-0.00506102088947102,0.004684779296498233,0.1803444127273072
TSLA,2.1644641945771372,0.00993425108762713,0.008483203016606653,0.3265678422076388
UNH,0.7872863564549619,0.006790529804321115,0.004204469213328881,0.1618544830222028
META,1.1737655617977325,-0.009871269134844735,0.006804935261856284,0.26196155160695495
JNJ,0.47444831433383716,0.002544804878246345,0.0025564788434126874,0.09841374512768801
V,0.9536748609319161,-0.00032736516160457264,0.004596630691814203,0.17695106005510008
NVDA,2.244179514282541,0.002296318091056698,0.006310431213844952,0.2429252136098714
XOM,0.309264513756599,0.009106723367514964,0.006224172269159481,0.23960460494567956
PG,0.6765607096776327,0.0032204276519320527,0.0032879949137795037,0.1265740548800603
JPM,1.0424608135165432,-0.0028412494019485262,0.0041095777418990445,0.15820155817670672
WMT,0.7406049785782474,0.00029121419228412757,0.004703834128504452,0.18107794407858088
MA,0.8796582754908412,-0.00019641955547427354,0.004788852837671535,0.18435080886156693
LLY,0.7869005444983936,0.009219378666518037,0.005359973357461877,0.20633656063755612
CVX,0.4066146516332458,0.00874425521802245,0.006284409465251982,0.24192348510333433
PFE,0.6791921763940784,0.008640358025075668,0.006091194687996427,0.23448552413889004
HD,0.8777446362433093,0.000558045236863711,0.004528188215178872,0.17431631090829872
ABBV,0.6630508532697628,0.007787087059251594,0.003918358900109128,0.15084043238135172
KO,0.6370858490267719,0.004984004321451484,0.0030949117874884704,0.11914116192722961
BAC,0.9383283992286319,-0.0014326759167540642,0.004786837911423841,0.18427324262678169
MRK,0.21004323023202714,0.005090760111294867,0.00519364546343282,0.19993363224533464
PEP,0.6364994272582299,0.004714535883444535,0.0027482122397538447,0.10579467912156994
VZ,0.10863676628881418,-0.0005605543277269656,0.0036842470069248442,0.1418281034717792
TMO,0.8824417660863921,0.0036380387787383938,0.003983042394696303,0.15333047643811096
COST,1.2056160252043386,0.00713373115805376,0.004454301550482891,0.17147198328694496
AVGO,1.2821497798368295,0.004585284154418973,0.0038910506187318323,0.14978917774247005
ABT,0.7967573802065778,0.0006406841750181792,0.0041083715459811895,0.15815512467777923
ACN,1.1423605160470096,0.0008793886496833553,0.0033871053067619132,0.1303893905632046
ORCL,0.8685040558918042,-0.0012369918222192625,0.004353698158666701,0.1675991733919244
DHR,1.0342642446062156,0.0017995561174414523,0.004172080029896884,0.16060763490085658
MCD,0.723871650474399,0.0034922414903790925,0.002625029618744373,0.10105266332142988
CSCO,0.7118786633906575,-0.001826977722785097,0.004007054409994065,0.1542548386168182
CMCSA,0.5582130715626168,-0.00520668573410949,0.00410982869213352,0.1582112187113437
DIS,1.0190895972327556,-0.009096447411295411,0.003912707056581669,0.15062286003967318
ADBE,1.4389609483675772,-0.004430402976897834,0.004910068598661927,0.18901710877572642
CRM,1.3940629698394134,-0.0023979662591982285,0.005598731981194184,0.21552776924214687
TMUS,0.6290557305479479,0.00037831353849514986,0.004469537792473343,0.17205851489068416
BMY,0.27453398387272804,0.0036512628276791567,0.0034817813690367024,0.13403402305700074
NKE,1.0820193076217706,-0.004617941257866038,0.004404396063041747,0.16955083070860033
UPS,0.9496154875246866,0.0002901076180516016,0.004430408206160855,0.1705521894445606
PM,0.507018243486048,0.0014528879495242166,0.004583349459386945,0.17643978814434452
INTC,0.8953402793289508,-0.0043869614815638305,0.004719584185493663,0.18168425541116892
WFC,1.0459574961505294,0.0018255606290634877,0.005930076345390538,0.22828314169185027
T,0.2535028429084213,0.0020619970153530334,0.004299205102783941,0.16550141861226197
NEE,0.8572877036770257,0.004129743626252281,0.004851732518392339,0.18677141362742009
QCOM,1.2553723214573584,0.0034629406582609187,0.00655122613943866,0.25219481132098936
LIN,0.8392369931398703,0.001058197116923065,0.0033919712758816375,0.13057671002645058
TXN,0.8033425881365901,-0.0013824014896073472,0.003448891709454418,0.13276790869669314
RTX,0.8074095196238007,0.004368513751114753,0.003754940110826157,0.1445494923569466
MS,0.9733081206859855,6.10893746332314e-05,0.004510035390486266,0.17361750306670481
UNP,0.5217949226891323,0.0008221307704289853,0.0042162663979670965,0.16230862529887416
AMGN,0.4433430801601801,0.0020800370875732384,0.0035203000359070548,0.13551683065926384
IBM,0.5679641750362081,0.0032962048579808965,0.0043582804661841034,0.1677755730696594
AMD,1.8879392764982852,0.003852532523217228,0.00841160756505032,0.3238117167110706
CVS,0.816552940916301,0.005308428856612874,0.003581525460057781,0.13787375346471947
MDT,0.531395037954788,-0.004956437468175557,0.003860915020805441,0.14862908323934507
SCHW,1.2873216407116683,0.0020980774715005164,0.005380127762736458,0.20711242096161225
COP,0.7299249744471328,0.010775237827171161,0.007765916465215998,0.298955309432736
HON,0.5737697772034147,-0.0032073019561822107,0.002870472029344511,0.11050116977105985
ANTM,0.6891927625967057,0.006421983351897602,0.004627781043028369,0.17815021831644384
AMT,0.8383589910403217,0.0010623421819890204,0.0047620681380134665,0.183319709929431
SPGI,0.8648470731098741,-0.0007253014813501917,0.003954462156902552,0.15223025679609417
LOW,0.9341670808852243,0.001390265736063591,0.004366041456137252,0.16807433872897856
LMT,0.4637232514346965,0.003876817839359873,0.004961225755120852,0.19098644537719234
INTU,1.61960254075732,0.00045975573728058734,0.004953138585592135,0.1906751231681882
AXP,1.210266906157892,1.4295602552870119e-05,0.005599142692655795,0.21554357991596027
GS,1.016239166093845,-0.0013469926562533817,0.0036988873436823505,0.14239169521592732
CAT,0.6114484698222491,-0.0014134433684596208,0.005151350841669858,0.1983054661694927
NOW,1.5777504912521543,0.001748754237768442,0.005037913441835853,0.19393860063333648
BLK,1.290591084041749,-0.0035318480756017477,0.00334266117764619,0.12867847744280575
C,0.6696570075619498,-0.00459819734076139,0.0051590417657596125,0.19860153458606333
EL,1.2090916020114644,-0.0011487152402718504,0.004348366197955157,0.16739391520101513
DE,0.9140174190914797,0.0007136306337490162,0.006803365947220428,0.26190113955582606
ADP,0.9671027691049535,0.003946614359554539,0.003135245434549772,0.12069383867720117
SBUX,1.0183022950448284,-0.004314412313215285,0.004886123116768847,0.1880953078548788
PLD,1.077796611387948,0.0028105208629229553,0.004923648026051574,0.1895398599455818
MDLZ,0.5407712721421043,0.0016357495721141745,0.0033332389912150025,0.1283157626656529
CI,0.7051893684100432,0.005661729638904796,0.004487869865159149,0.17276422303046082
PYPL,1.3706942958912112,-0.021841663555173,0.00816027224839605,0.31413635802052847
CB,0.6186864114248979,0.005077325385030033,0.0027876229727833574,0.10731182754063695
BA,1.0897901833738501,-0.0066074722554167725,0.007321031792640232,0.2818291098982075
ZTS,0.9420564261039799,0.0005722832530649989,0.004034040828293164,0.15529370287311356
DUK,0.43493849858728284,0.002887357728899701,0.003516585560833044,0.13537383890161298
AMAT,1.894883197753274,-0.0017873473394997125,0.005693095105480765,0.2191603549319995
NFLX,1.7253454122476757,-0.013409259901678402,0.008814164508304441,0.33930847566719274
GILD,0.5135120988432611,0.0006265524190192082,0.0034477337483943445,0.1327233320380881
CHTR,0.626572193757843,-0.006653817933583709,0.005940534437663518,0.2286857345120987
MMC,1.013732799736576,0.004383895196731156,0.0030155254217076326,0.11608511881202845
ADI,0.9956444655286476,0.000903741418872113,0.003869905260122075,0.1489751698588467
MO,0.4889963599185766,0.0003894935173577997,0.004601795167165782,0.17714987076001873
SYK,1.022316841083542,-0.0025064243236167837,0.0035041937850703057,0.13489680735302967
SO,0.5007847194235788,0.0049224682041038945,0.0035127438227603907,0.13522594805068588
CME,0.7306651267543194,0.0024329126375171846,0.0037586406030340096,0.1446919458327221
MMM,0.759519531066701,-0.0060753876519937106,0.002680674572817577,0.10319476136456951
BKNG,1.0667742200301373,-0.0007057126402724467,0.0064742043558399945,0.2492297947319061
ISRG,1.4048872574934643,-0.004218488502797316,0.004443845539919806,0.17106947060382252
CCI,0.8624812516361693,-5.8537070333306886e-05,0.004981727878436634,0.19177569139179357
NOC,0.3787378722642306,0.006821823499805158,0.005765495027763135,0.2219474491874912
VRTX,0.5932909671240693,0.009433002236434809,0.004886586823797644,0.18811315863641898
BDX,0.45256652640829953,0.0017207762999905149,0.004004782172839313,0.15416736698809985
GE,0.948986270884665,-0.006907216899848797,0.005230054039659402,0.2013352101815094
USB,0.9730178954117144,-0.0005771840720731553,0.004616900251787664,0.17773135335352444
TJX,0.9459414817976308,-4.725644945572337e-05,0.004223524317133795,0.1625880248365896
CL,0.41974288451503783,0.000569726279568103,0.0033330541732989496,0.12830864794873187
PGR,0.5719833664842628,0.0055133123050867695,0.0037213623089599785,0.1432568873962911
EOG,0.8476809833009964,0.010007151318629273,0.008619618891554734,0.3318192829473514
TGT,1.1262818226009548,-0.005570536043562761,0.00744522944461329,0.2866102001459239
PNC,0.9979535319254781,0.00017026388174731723,0.0048628325966955,0.18719872022525857
REGN,0.7577568265821766,0.003718406036752516,0.005652202840910859,0.21758617374389916
D,0.47932409240351087,0.002829123317207985,0.003300608564414756,0.12705962768342852
