,Beta,Alpha,StderrA,StderrB
CSX,0.7667114028649706,0.00045669425094681205,0.004079396976883739,0.15703972492953228
TFC,0.8163924868493533,5.415879251401568e-05,0.004432720492043639,0.17064120278183778
WM,0.5918375632968581,0.0030827188342082133,0.0035084211090933527,0.1350595416506548
MU,1.4379976148910012,-0.0008878338912285087,0.006756848772222204,0.26011042283773883
ATVI,-0.23622227541230684,-0.0023936472925553736,0.006893191646235466,0.2653590533467266
GD,0.6378997911112081,0.004949418793544897,0.0034605293130140157,0.13321590776915265
FDX,0.6083628068665765,-0.00258476081691158,0.005345422859520441,0.20577642731215068
EW,1.3628225365076623,0.0019887617118007662,0.004742031427145249,0.18254838034786106
FISV,0.7017281186568995,-0.0011908978201002787,0.0038148115131694626,0.14685429098488512
HUM,0.7933764904928065,0.003987729204080519,0.006263002077950308,0.24109939021078897
LRCX,1.7994144134836616,-0.0018942936140405736,0.006008109764144203,0.23128710200407948
EQIX,0.7617220045125287,-0.0019733899754687733,0.004754525758647067,0.18302935986354493
SHW,0.9221051772070608,-7.365261616294272e-05,0.004955289860060771,0.1907579382393168
NSC,0.6821452323401993,-0.0007252249066651917,0.004344292243820073,0.16723708500273474
FIS,0.7191985763532011,-0.005472929538271196,0.00576547771800813,0.22194678283430713
AON,0.9093646061462092,0.005559106651714437,0.00484588982663943,0.18654649442712548
MRNA,1.3646581521457255,0.004574589143590491,0.016389310395574876,0.630919915588091
ITW,0.7974232424987544,-0.0018862084753776482,0.002992978734008593,0.11521716561835961
DG,1.052739448029856,0.006087329250612342,0.006334472443989073,0.24385070043799673
OXY,0.8006854324324519,0.01909400689081892,0.013046056291524505,0.5022186129581452
PXD,0.7827910910336515,0.010670200134820307,0.007324718012501336,0.28197101394831536
PSA,0.7535699617078218,0.0027775952461860536,0.004326839748231076,0.16656523690308653
BSX,0.8296246135705501,-0.0006821745727480489,0.0032898798058036104,0.1266466153409973
APD,0.7760532757286557,-0.0019296179859692969,0.0037794138114087576,0.14549162748850603
ICE,1.0205359278165647,-0.0011461130184767633,0.0045732487614207175,0.17605095351040206
HCA,0.9174142828413187,-0.0015049734946878785,0.005812365393844817,0.22375176228536395
MET,0.815348252813812,0.003852055363948565,0.003766161015345608,0.14498145025885723
SLB,0.7322094864599482,0.0058494084543667555,0.00930191226837495,0.35808472483110226
ETN,0.876194528673492,-0.0010366857678046299,0.002943942574623744,0.11332947853494174
KDP,0.42086151840648967,0.002118281658533834,0.0030471352507555594,0.11730196504858863
MCO,1.030774900562531,-0.002667265663459013,0.003289478988471354,0.1266311855497901
CNC,0.6952492008547939,0.0055763532486174565,0.005168504534302935,0.1989658116048325
MNST,0.734069902898999,0.0034566734601568887,0.00418217317183741,0.1609961786594063
NEM,0.21029743895949593,0.0005555553549810995,0.0060680657722373835,0.23359515759959507
AEP,0.4109360604281299,0.0037767908068395864,0.0038970992431972087,0.15002202449105256
GM,1.3539703142712116,-0.0073507027538025835,0.006151090821232772,0.23679127480279422
KLAC,1.7360659489983121,0.005824582079517292,0.005879442447152682,0.22633394834380377
EMR,0.7813647688291798,-0.0013816964165309447,0.002869366176158718,0.11045859904771681
SRE,0.564601054942614,0.004123067884388461,0.003807160004769582,0.14655973990755133
MCK,0.7613656283272285,0.012862676032247724,0.0033717370363372905,0.1297977764168488
SNPS,1.1547335377354262,0.005611631585814426,0.005137821798371577,0.19778465457646538
KHC,0.3062960165617697,0.0012900592003997793,0.00504225265398608,0.19410564215597914
LHX,0.5571170393210283,0.00329749170705594,0.005098011386117343,0.1962521201785721
STZ,0.722814407559756,0.0032074615226402514,0.0031595925225070547,0.12163109975213769
MPC,0.5753546157461699,0.009753180020915853,0.006802626418085855,0.26187267077660964
HSY,0.4055040613420313,0.00560111973739611,0.0030300701711638467,0.11664503084479111
F,1.476023833069481,0.0008702329700832128,0.007221022402283169,0.2779791665754469
KMB,0.4086010498747632,0.0017895405024388946,0.004195474229522503,0.16150821375968588
MAR,0.8615548020869386,0.002123230633239988,0.005978832397836253,0.2301600458294255
GIS,0.33215514989050265,0.006211988951589913,0.004068739066803927,0.15662943995929243
VLO,0.3450318019282184,0.011015766145508787,0.008547759951137155,0.32905301423144806
FCX,0.9697370668701276,-0.0006069518338933425,0.009252562218685386,0.3561849542835376
ECL,1.1172181523477824,-0.003067343699963479,0.0030017358935287377,0.11555427964035854
ADM,0.4777143578698331,0.005758537208538587,0.005018425710196165,0.1931884044564165
EXC,0.6694250519681891,0.008624100601211406,0.003958469081655911,0.15238450664347272
SYY,0.9063087510695205,0.005353965957555024,0.004815827704608564,0.1853892284387265
ORLY,0.9626321382997949,0.0048476531251178834,0.005313587732002143,0.20455090802660444
O,0.5022467780350204,0.002666457186739904,0.002894454801785571,0.11142440622206802
AZO,1.0560458664886176,0.00935185274997797,0.004977156563830324,0.19159971489516694
ROP,0.9721150667683441,-0.0009719410136275705,0.0032493879329724626,0.12508784756053418
CDNS,1.3612677936386919,0.006502993848326727,0.004650361984947516,0.17901949015434707
COF,1.0384184202701146,-0.0039467923387030346,0.0058257967887067,0.22426881482192326
PAYX,0.9939146455808286,0.0037264973080902144,0.00335419716951973,0.12912256489025833
RSG,0.6589651671435619,0.004619383633310423,0.003174180719529217,0.12219268433450607
PSX,0.4347545790393175,0.0033091707005891762,0.008327317637534842,0.32056690697414897
IQV,1.1342661909122067,0.00031645858934874205,0.00393446682877091,0.15146052027683352
AIG,0.9503790343115559,0.0048093973088658565,0.004449039448406428,0.17126941436136076
TRV,0.4546189569530053,0.0034885891779908237,0.00337867213117675,0.13006474856790945
CTVA,0.751925812358518,0.0061136063721298085,0.004839403733225528,0.1862968069533743
NXPI,1.2180581634988887,-0.0010120752370303748,0.006161373417168355,0.23718711174792012
APH,0.9231655285200768,0.001141547381427128,0.0028192459245409878,0.10852917894664592
ADSK,1.6807530132529187,-0.0045929669517205535,0.005614023821812143,0.21611644116055012
WMB,0.5614935414828838,0.0060821441747731814,0.005554597517371904,0.21382877694062838
KMI,0.6324755553081012,0.0015632938422744332,0.006012402317854499,0.23145234737189488
XEL,0.43101813863490085,0.002328061289877627,0.003948319291227404,0.1519937821550208
CTAS,1.2008648459146687,0.002726852998630067,0.002799163155059386,0.10775607630106246
DOW,0.5164935656217005,-0.001353508142760584,0.005133806039983466,0.19763006467108815
WELL,0.4070127396952934,0.0007052304324291513,0.003659972871529315,0.14089365076540686
DVN,0.8662047398200823,0.01789027257673803,0.009520677801572985,0.3665062830545741
TEL,0.9103252805554622,-0.0008766121004141321,0.0038805164795484657,0.14938365743417462
DLR,0.7582902702831404,-0.001214539836161863,0.004813780433671109,0.18531041706864018
PRU,1.0396485744959822,0.0026108794319668572,0.003526599782019129,0.1357593445411371
CMG,1.1766474071926223,-3.069772198877399e-05,0.005197248424699362,0.20007233118771156
AFL,0.958127353427485,0.00389912814440619,0.0035889343121739956,0.13815896328983993
CTSH,0.8280589424390541,0.0016408060840358875,0.003024423862088281,0.11642767155636724
WBA,0.7817911599647729,-0.0015534931060865015,0.0043893900201163565,0.16897316080625016
A,1.0574447312875606,-0.0010861170008689503,0.003730852693344833,0.14362222750947903
MSI,0.9787825296506508,0.001793044111189042,0.003235649862805146,0.12455898930712973
DLTR,1.1510539351481401,0.014413336085665803,0.00871836043035378,0.3356204192868617
HPQ,0.9581869045657523,0.004855035188861028,0.00623163319887387,0.23989181954055852
ALL,0.7541194566648609,0.0021698938263272818,0.004318994431227807,0.16626322500496538
KR,0.6732386174525404,0.007475841101738008,0.007612763923274492,0.2930595770009477
EA,0.27196177939235977,-0.0007955168753363312,0.00564188705811373,0.21718905924338017
AJG,0.9281428368626263,0.005789614842492314,0.0031355838393977596,0.12070686584875225
BK,0.9477161062553167,-0.00026336237318896677,0.004643550585183796,0.17875727974645075
SBAC,0.9196721723388992,0.002494721557531293,0.0051482848449644,0.1981874381173104
HES,0.8062103378378312,0.007192702780739928,0.008532103178376299,0.32845029395156805
JCI,0.9775857933682995,-0.004648422797223176,0.003759397129162066,0.14472106892511177
MSCI,1.4865692230547145,-0.0007638569775665349,0.004499663185832054,0.17321821656062558
ED,0.5343892974334039,0.006483918103559356,0.0034358216151585555,0.13226476472108692
BAX,0.6328668405713639,-0.0018517356291942195,0.004853061487028696,0.18682257336261526
YUM,0.730889520013801,0.0019088331546333677,0.0032397628993260535,0.12471732401383481
MCHP,1.4991153274210802,0.0009184729921190822,0.005703550567535046,0.21956284649982669
SPG,1.050480374516941,-0.0016669786602377622,0.004566815646641976,0.1758033054925655
WBD,1.1123663127982992,-0.009488287354079136,0.00937528031600444,0.36090908786408005
PH,0.9841928400254245,-0.0016159234332447454,0.003630767245875855,0.1397693563059552
GPN,0.7933208167535175,-0.007191458866810899,0.006051404468093739,0.2329537670620936
HLT,0.9601026167782913,0.00046122356644046026,0.005253265745968571,0.20222876381078173
TSN,0.43920560464544456,0.004475882292573992,0.005019210226343022,0.19321860504748506
WEC,0.4259424322050386,0.0033227278948568793,0.0037675677068527836,0.14503560199956775
PEG,0.5076985386265428,0.0025109505589809783,0.00316056039679001,0.12166835886470333
RMD,1.0052460721386587,0.0006197067890563101,0.00550388987361088,0.21187674469831913
BKR,0.27081989288519936,0.007255986149299458,0.00862261243015009,0.33193452166529047
TT,0.991188741092442,-0.004329430453165636,0.003781065228004202,0.14555520012175602
CARR,1.0215497012604193,-0.0026230611913137898,0.004360865154331526,0.16787507275502955
IDXX,1.3878126689645516,-0.006740265968449025,0.005793711363759584,0.22303366013202802
ABC,0.7370705910117304,0.006217182811862391,0.003433473825082497,0.13217438462083536
BIIB,0.646332128440618,-0.007555025921863067,0.004587623310329023,0.17660431353379225
IFF,1.0137553579852554,-0.0009599745038131177,0.005934642622485944,0.22845892426537232
OTIS,0.7717615204018128,-0.0013534941609666298,0.00324873330733812,0.12506264721103852
ILMN,1.4526209455858008,-0.012371706225875915,0.006507822998261042,0.25052397188314246
ANET,1.5220884367346177,0.0062518226389694865,0.006740419906914739,0.2594779802234485
MTB,0.8314956837578618,0.00549483187575873,0.006459154332275997,0.24865043175888193
HAL,0.8303681556897178,0.009587975854082038,0.009033356809702194,0.34774646268175124
ODFL,1.2265262448434395,0.0044221914848815306,0.005192711699093465,0.19989768622296117
PCAR,0.6902813080448381,0.0009425654390206395,0.0037104251547624484,0.14283585269522506
TWTR,1.1136545998282794,-0.007977997341601952,0.007854567160452469,0.3023679904916366
ES,0.5498062458743223,0.00227220252978535,0.00416639396299934,0.16038874510254048
LYB,0.5435078097256398,0.0006123855550074691,0.005706220339132485,0.21966562154223176
VICI,0.7051729784483897,0.0026899227854109337,0.0036396050093656183,0.14010957324372547
TDG,1.0744836747356132,-0.0011374763223299578,0.004259723137611653,0.16398152805356725
DD,1.0956915103013702,-0.0033886568610188104,0.004565098786914801,0.17573721357240524
FAST,0.9841202340517503,0.0015896535400106325,0.002948242049486612,0.11349499033818919
NUE,1.1316369766769891,0.006944400346433795,0.008844929184420473,0.3404927870500233
PPG,1.0874367882675513,-0.004035816760742907,0.004142825674479164,0.15948146454925255
GLW,0.8433215545514309,-0.0013772047419040967,0.0055322615027954625,0.21296893378121468
CMI,0.6833291988613678,-0.0013876960695184725,0.003771511072457307,0.14518740508549935
AVB,0.6210480827722236,-0.0007903880045677339,0.0029788543683973772,0.11467343660572406
EQR,0.5997981142625907,-0.0005113397345157358,0.0033210033377487204,0.12784474117263167
VRSK,0.9661550398385321,0.002312576142389871,0.004414364150839255,0.16993456040557872
DFS,1.0574896027845482,-0.00035848924021503604,0.005634836536332569,0.2169176436377411
AWK,0.852442072596707,0.001238606014103594,0.0045830214313535315,0.17642716043676215
AMP,1.2242558461960713,0.0023733383236665224,0.003334252955904371,0.1283547960661307
TROW,1.3779034072096967,-0.006824137033600509,0.003623384969232739,0.13948516952541926
HRL,0.21266764627282386,0.0013019648587483165,0.00420692505318768,0.1619490225872616
MTD,1.1570350872084807,-0.00019382707079653686,0.0034738560036340765,0.1337289296302401
CPRT,1.1046799307866466,-0.0008682907798346952,0.0036346386191758056,0.13991838798920858
LVS,0.8660320038303991,-0.004364674605145112,0.007735357527600616,0.2977789181218506
AME,0.9008734787764694,-0.0014236259522987004,0.002043821351765978,0.07867857546230203
APTV,1.4741264722814698,-0.0053244526546675445,0.00664060762312035,0.25563562467911677
ROST,1.3347704148333808,-0.005351886630380669,0.006166022519057008,0.2373660827296364
FRC,1.1186495757680885,-0.0019936780869670196,0.0032813953765665786,0.12632000029443094
OKE,0.9585458856722198,0.003843597389856826,0.005569304374900195,0.214394929456284
KEYS,1.0552253314404039,0.0009744844437508963,0.0036856744989253896,0.14188305594450373
ENPH,1.581967484114827,0.009836812802864515,0.010882334319305305,0.4189243649928847
ALB,1.6267974842572195,0.008850604304261945,0.008469434166254258,0.32603779904582125
WY,0.8470125244515443,0.0031428844443894565,0.004329457433940298,0.16666600685660113
DTE,0.5204628146575055,0.0033625229433314682,0.0032831188811516146,0.12638634801383225
K,0.17518078518404978,0.003729102623674877,0.0039240545524808134,0.15105969118033893
CBRE,0.8302383534032265,-0.00015619456489484804,0.004247067225238675,0.16349432835002112
EIX,0.7286297030067671,0.0041170157862875645,0.0040717959297952395,0.1567471164016743
EBAY,1.3684758023644752,-0.0050700831663055505,0.005122319281900066,0.19718787251867667
SIVB,1.5251813552342106,-0.0013838895037538573,0.006533855944074516,0.25152613143584585
ARE,1.1163229485087731,-0.0017871126113274825,0.0034771736215059323,0.13385664404513273
STT,1.2931439901999568,-0.0013082727272534247,0.005402283396848157,0.20796532022742442
FITB,0.9141919801855498,0.0009659247327487045,0.005270940818380469,0.20290918018736942
DHI,1.4112110495719952,0.0003673550246573818,0.005284677558678217,0.2034379872463565
GWW,0.8086372443582397,0.002998128243016937,0.003173888495886577,0.12218143494624648
AEE,0.572511257952321,0.003268682545746463,0.0033572855017072138,0.12924145276509907
EXR,0.901593993798366,0.0029644581430090028,0.004278714713742063,0.16471262431813724
ROK,0.9506532968350672,-0.004273631736497283,0.004520339109863949,0.17401415317602037
MKC,0.5235170484930318,0.0006693066301251297,0.004227083399341014,0.16272503461867022
ETR,0.6051061995664762,0.0037480741380726424,0.004472587775900464,0.17217592649861269
CHD,0.6150559816359757,0.003448667653297818,0.0036331079136392042,0.13985946222695056
ZBH,0.7128912204484329,-0.005265549607160337,0.004239928414740252,0.16321951399796147
WTW,0.7831061243827387,-0.00010474906787324816,0.0038533894018099426,0.14833937837765243
LH,0.6143522710559096,-0.0007443442575857844,0.00509129910321992,0.19599372535555448
ON,1.6628521346865073,0.01246546974969747,0.008429345364433974,0.32449454781376763
WST,1.1992898229683757,0.0005426771305610535,0.005925164635157728,0.2280940613870246
EFX,1.1895117471119174,-0.0019552116132230345,0.003667320597870549,0.14117650750379823
TSCO,0.8215254841186073,0.004298164790643478,0.004850957256535974,0.1867415692878371
BALL,0.922296788171276,-0.0013329384202344157,0.004744691864833145,0.18265079607378004
FE,0.4602413559772329,0.0018337157869689701,0.003827090937324589,0.14732699746639238
FANG,1.1264126390953704,0.010505887775778416,0.00932125352674286,0.3588292823995612
CTRA,0.9461011063273663,0.014082993818704152,0.010148163000218266,0.39066183926815035
LUV,0.9066861563422872,-0.0038938074477299616,0.0067603855552647975,0.2602465741952291
CDW,0.9880637637296124,0.0008027718879025235,0.00350380189453429,0.13488172120614889
HIG,0.6834359593377559,0.003355651697851788,0.0033591612675088886,0.12931366190463522
DRE,0.8473830861541446,0.0054419034324783636,0.004756763370925201,0.1831154985793033
ANSS,1.2529804514923337,-0.0034459265405997475,0.003954122934080515,0.15221719813596268
STE,0.9976604836277319,0.002666527454192202,0.004421163812849074,0.17019631895903323
VTR,0.3667909590011055,-0.0009628715699034242,0.00424647331844822,0.16347146542210914
NTRS,1.2446001024971873,0.00036407237783818913,0.0043946571982493195,0.16917592513878327
MTCH,1.579354784686452,-0.00948061803467595,0.007646076500051725,0.2943419719047618
ULTA,1.3059120686735408,0.0058199803294281625,0.005921894272592788,0.22796816610384227
LEN,1.4375781862053707,-9.72973680251326e-05,0.005522066742938267,0.21257647815780545
MAA,0.6746768867072681,0.0009087101174794021,0.003401537495195845,0.1309449694673021
PPL,0.6057538473639883,0.001575154680061348,0.003678890140059665,0.14162188649810423
WAT,0.8142243972821332,0.0010060469698041712,0.004547955469980227,0.17507726755807007
FTV,0.9745833504245534,-0.0018837636908254846,0.003866592145017465,0.14884762878166394
IT,1.0790923067268878,0.001852769354804325,0.0046816984283626715,0.1802258121872533
CMS,0.497406414841835,0.003592223809706552,0.003491801097359394,0.13441974069825519
LYV,1.1921289380644509,0.004175066286944362,0.007470692960124431,0.2875904390131555
GRMN,1.0323165115259727,-0.0038701658072515044,0.004327616554123676,0.1665951406816079
ALGN,1.836788162401438,-0.010939386939310645,0.006691394970895116,0.2575907251926594
VMC,0.803054944733725,-0.0012574789731878773,0.003415474611299021,0.13148149015689325
CTLT,1.0220425079317899,0.0029937627164570444,0.00630025498759315,0.24253347145276846
DAL,1.3515219459581556,-0.0022890757121941576,0.00814646274538748,0.3136047499014441
CINF,0.7048277347596923,0.0021793983941223167,0.0035672774446987954,0.13732526445385687
GPC,0.8303992430227084,0.00360285750736216,0.002974610727055187,0.11451007415954549
AMCR,0.5703913176284494,0.0037309898557562602,0.003602757558648731,0.138691100474901
RJF,1.1478388706661216,0.0038891816820225116,0.00444111832459893,0.17096448421827562
MLM,0.8856773752850258,-0.0006135925429024038,0.0033433543100487837,0.12870516014185657
CNP,0.6800061685590613,0.004987402534359952,0.0038092799040591874,0.14664134716548782
MPWR,1.4982202349467433,0.005577662621575147,0.007273153600262972,0.27998599970234916
VRSN,1.1333486320737207,-0.0022028187990345534,0.0037688890422478707,0.14508646788689372
CF,0.310449353918987,0.012936965010212756,0.00844318084090158,0.3250271558024125
RF,1.0120002767522407,0.00279850596641948,0.005705409295641437,0.2196343997593404
PKI,1.0516358489828004,0.0019094846292751796,0.004869474108923306,0.1874543906734353
CFG,0.9142620394639863,-0.000741358939249942,0.005907956193644991,0.2274316083487595
WRB,0.4280024749029905,0.007205789780259987,0.0032138880113180704,0.12372124902569767
HBAN,0.9215225950560147,0.0005187997244068846,0.004901484908692782,0.18868667260604902
EPAM,2.4806849366843213,0.0029449700582756992,0.014597639506226553,0.5619480785195533
FOX,0.6419705203800044,-0.0002442080421752005,0.0043014794230303325,0.16558897043129772
FOXA,0.6629105586688326,0.0003646371891367527,0.00457913573281399,0.1762775772916879
HOLX,0.5819100039727182,0.0022546104609765115,0.00446705013270717,0.17196275039225176
