,Tickers,Beta,Alpha,StderrA,StderrB,AnnLogReturns,CAPM,ADJ CAPM,Sharpe
78,PLD,0.9639926811666522,0.00030134294063086694,0.0003670213382672569,0.027806023645263116,0.14279144278166322,0.06976424621789899,0.06978540049233128,6.212737013940121
79,MDLZ,0.7010682467411842,0.00010997092314445845,0.0002865845203359562,0.021712023574567477,0.07952462595083465,0.051306950921231144,0.051314670880035884,3.6207434088982606
80,CI,1.0138134802265684,-7.356114132932379e-06,0.00047479773491433815,0.03597130648063812,0.04545675650637948,0.07326166631190512,0.07326114991269299,0.7286046099555296
81,PYPL,1.3372620479344455,-0.00015295785416215245,0.0005650523924611401,0.04280911910943424,0.008393685190048794,0.0959677557649981,0.09595701812363591,-0.8023000145493159
82,CB,0.8913835301488523,-0.00011386665447024038,0.0003778815618189718,0.02862880859367375,0.02340997984185833,0.06466708381644945,0.06465909037730563,-0.35863227751396726
83,BA,1.5377314331287404,-0.000863144736357347,0.0006748073860918435,0.0511243030779989,-0.16811736831868662,0.1100407066056376,0.1099801138451453,-6.312736754119837
84,ZTS,0.9279274869167474,0.0004611958170626808,0.0003243112181762649,0.024570248268417402,0.19303370043123502,0.06723246958155568,0.06726484552791348,9.723124605044122
85,DUK,0.5908196575386484,0.00011208121767758279,0.00034869602569026953,0.026417673645701228,0.06446971023265835,0.04356749995921313,0.0435753680606941,2.373726430677873
86,AMAT,1.6042682030956896,0.00014322332394563079,0.0005446058059238497,0.041260058579588914,0.10256483691971763,0.11471158785731743,0.11472164213465841,2.5408739955544917
87,NFLX,1.0895487621259685,-0.00025385849281540327,0.0007312964627151676,0.05540399048719104,-0.06831385312830374,0.07857828310124301,0.07856046223504737,-3.3118032988549024
88,GILD,0.5556177302082866,-0.0002076937816975216,0.000417028295238808,0.03159461706749645,-0.028511215258240408,0.041096324660621734,0.04108174455714656,-3.5359349986516855
89,CHTR,0.730908600555926,-0.00016203190443065817,0.00045356024464868883,0.034362326034758216,-0.009592930808644207,0.05340174375902602,0.05339036911933498,-2.10229960982536
90,MMC,0.8279233522684166,0.0003244097670797554,0.0002744961792625041,0.02079619481292841,0.1506713379230069,0.06021217932924286,0.060234952894891856,8.265464238458257
91,ADI,1.2466030706731037,0.00021636404484416314,0.000389877965775355,0.02953767207731791,0.13317554696369927,0.0896034955612519,0.08961868431719995,4.813557804455969
92,MO,0.6042902202512206,-0.0002947015853132576,0.000416308300085254,0.03154006927918879,-0.04626537960094279,0.0445131334616357,0.0444924454103467,-4.537457741473271
93,SYK,1.0678577469056456,-8.767183259463246e-05,0.0003610419606883254,0.027353018064910025,0.04354310973968367,0.07705557383277634,0.07704941927012819,0.7222832061706894
94,SO,0.6481929817172943,0.00028392125761726993,0.00038074292798834073,0.028845589491860363,0.11243289382288668,0.04759510731655407,0.0476150385888388,5.174382948264046
95,CME,0.8269299883598692,0.00015976759411611742,0.00040428193984457514,0.0306289362676927,0.0877630129497935,0.06014244518286283,0.06015366086796978,3.2196407575574177
96,MMM,0.8064643100540142,-0.0004834166396100332,0.0003542006123309488,0.02683470843449782,-0.07000739152391189,0.05870575456579181,0.058671818717691185,-6.067079352737643
97,BKNG,1.1194634915095343,-0.0004967536943588273,0.0004970919111665152,0.03766034285913961,-0.07315629060361206,0.08067829710396933,0.08064342499462532,-4.479834484029704
98,ISRG,1.258686780149071,0.00015747344792830292,0.00041767180249378875,0.03164337003110442,0.11316442085056888,0.09045177196646481,0.09046282660250937,3.748287388700672
99,CCI,0.7354579347814295,0.0002754989853434176,0.0003896300650798615,0.029518890791649034,0.1157759998361898,0.05372110702165636,0.05374044705042747,5.096041025936593
100,NOC,0.6598714420441514,0.00025683222636537954,0.0004303136139926721,0.03260113044666081,0.09871158001317881,0.04841493523149944,0.048432964853790283,3.9257392356969065
101,VRTX,0.8551252187500238,0.00010720902756796876,0.0004993273089795447,0.03782969956395443,0.061030910151843365,0.062121750356251684,0.06212927642998695,1.4886621853313085
102,BDX,0.5868315151187885,1.808214667484619e-05,0.0003819073012071773,0.028933803952108737,0.03511827637006948,0.04328753236133896,0.04328880172803553,0.34120092011952
103,GE,1.1469066367047258,-0.001209243529310813,0.0006415681365345361,0.048606053421167576,-0.24433872665833034,0.08260480589667177,0.08251991700091414,-10.040780753794493
104,USB,1.0757780218157298,-0.0004046639137085878,0.00042166260767320077,0.031945718727521534,-0.043244794064716596,0.07761157713146424,0.0775831697247219,-3.5451510755620377
105,TJX,1.015955414251282,0.000106467994951726,0.0004273521413518346,0.032376765349348774,0.08301216870637096,0.07341203008044002,0.07341950413368563,2.631777214522926
106,CL,0.5453891236140718,-3.197922070617666e-05,0.000318922511092375,0.02416199266862192,0.0261965929417316,0.04037827647770785,0.040376031536414274,-0.2690326484539287
