Date,AAPL,AMD,AMZN,BND,CRWD,DFAC,DFAS,DFUS,ESS,GS,JPM,LOW,MSFT,VEA,VGK,VOO,VWOB,SP50
2021-11-15,-2.653497658028871,-2.9789020439436227,-3.1476209892752705,-7.440490581021491,,,,-6.346246581949651,-5.857672881861058,,,-2.884970275775819,-3.9645232957194882,,,-5.6707806404160905,-7.166564046370367,-5.736314470760983
2021-11-22,,,,-7.664298503708494,,,,,,-5.2662762517198525,-5.070959665495781,,,,,,,
2021-11-29,-3.4396167818506567,,,-5.337385949563105,,,,,,,,-5.512183653100313,,,,,-3.9853071805327245,
2021-12-06,-2.218140735042982,,-4.131239068571157,,-4.845200619323018,-3.331844187076269,-3.610577912832692,-3.2970529226196073,-3.608303293559521,-3.606131248194204,-4.639158442309529,-2.975391657218418,-2.8057307609585234,-3.6864752636093083,-3.5601024795172544,-3.2594877822980917,-4.823880229415044,-3.263641158210761
2021-12-13,,,,-5.6474191905371445,-3.4194906054421903,,,,,,,,,,,,,
2021-12-20,-3.505428314225976,-2.7984000003014162,-5.086164169982173,,-3.4640798623462485,-3.574765935511828,-2.876060101787543,-3.585492436829596,-5.928381660640404,-4.769320947930423,-5.7478503158369145,-4.82064234755767,-3.3922802367714158,-4.763761932969318,-3.7793654653614346,-3.9404403255278333,,-3.7829015587933643
2021-12-27,-4.917419427457155,,,-6.099751160785202,,-4.559823805317725,-4.30388783857121,-4.829094754777968,-3.5791816737295314,,-4.971709993086033,-3.394777240160244,-5.324620388023355,-3.8974680196795455,-3.9387047602934215,-4.3597012207211945,-4.851089203682185,-4.762204415450266
2022-01-03,,,,,,,,,,-3.241479947323322,-2.888920019468765,,,,-5.78369225883031,,,
2022-01-10,-5.253824605025355,-3.2976557021454855,,,,,,,,,,,,-5.593362635888089,,,,
2022-01-17,,,,-6.9482975816815395,,,,,,,,,,,,,-5.455830910442555,
2022-01-24,-3.0207330951683002,,-4.671420151815217,,-3.676392147313973,-5.254150427722239,,-5.098821215075504,-8.61861814006213,-4.708966373473894,-4.552013473114553,-3.04175651294744,-3.1865698697641918,,,-4.725595327455165,,-4.865176951221608
2022-01-31,-4.415035935313945,-1.7460690174375435,-2.3550789017882323,,-3.0118456364060537,-4.1372054734045385,-4.178454422580376,-4.017844206399764,,-2.824549192194579,-3.2043853508738724,,,-3.8878964535781395,-4.066638521192523,-4.1728172310088,,-4.167118919192563
2022-02-07,,,,,-3.6404696008593542,,-4.501627062401269,,,,-4.720066642295842,,,,,,,
2022-02-14,,-5.159760042999951,,,,,,,,,,,,,,,-4.984013760957933,
2022-02-21,,-2.75646767818762,-4.85640382473929,,-2.282952007060295,-4.852769204063062,-4.543654038476781,-4.674734150145846,-3.5358208665450346,-4.440464872011333,,,-3.3606565346510426,,,-4.864760096973154,,-4.80028827368237
2022-02-28,,,,-5.014581117971307,,,,,-3.039882654344315,,,-3.8026965891797864,,,,,,
