Date,AAPL,AMD,AMZN,BND,CRWD,DFAC,DFAS,DFUS,ESS,GS,JPM,LOW,MSFT,VEA,VGK,VOO,VWOB,SP50
2021-07-16,145.5583953857422,85.88999938964844,178.68150329589844,84.4013900756836,249.9600067138672,26.157514572143555,53.92275619506836,46.620811462402344,319.56561279296875,356.8287048339844,147.68955993652344,193.2004852294922,278.4761047363281,49.362632751464844,64.35479736328125,390.9458923339844,76.75584411621094,4327.16015625
2021-07-19,141.64076232910156,86.58000183105469,177.47950744628906,84.8804931640625,250.39999389648438,25.723201751708984,52.96399688720703,45.889225006103516,314.0956115722656,346.9689636230469,142.88677978515625,190.009033203125,274.7663879394531,48.39606857299805,63.04574966430664,385.1005554199219,76.7462158203125,4258.490234375
2021-07-20,145.3197479248047,87.11000061035156,178.6595001220703,84.79251098632812,252.24000549316406,26.211803436279297,54.36823654174805,46.68893814086914,321.9015197753906,356.78961181640625,145.55067443847656,191.9971466064453,277.0577087402344,48.831024169921875,63.4211311340332,390.541748046875,76.95769500732422,4323.06005859375
2021-07-21,144.57400512695312,89.41000366210938,179.25999450683594,84.51872253417969,253.5500030517578,26.502992630004883,55.27082443237305,47.092735290527344,321.7069091796875,365.3385925292969,148.61314392089844,193.0060577392578,279.12078857421875,49.536617279052734,64.63392639160156,393.8241882324219,76.69817352294922,4358.68994140625
2021-07-22,145.966064453125,91.20999908447266,181.90150451660156,84.7044906616211,263.0400085449219,26.433897018432617,54.46992111206055,47.17270278930664,318.7674560546875,364.5658264160156,146.73675537109375,194.62818908691406,283.8224792480469,49.604278564453125,64.73981475830078,394.66204833984375,76.861572265625,4367.47998046875
2021-07-23,147.716064453125,92.1500015258789,182.83200073242188,84.6067123413086,268.9599914550781,26.631309509277344,54.9154052734375,47.661415100097656,323.050048828125,365.8765869140625,146.45481872558594,198.6538848876953,287.3238525390625,49.90391540527344,65.29806518554688,398.60491943359375,76.91924285888672,4411.7900390625
2021-07-26,148.1436309814453,91.81999969482422,184.99099731445312,84.55783081054688,264.8299865722656,26.710275650024414,55.23014450073242,47.74631881713867,322.2811279296875,367.6861267089844,147.43675231933594,195.587646484375,286.7088623046875,49.961910247802734,65.54833221435547,399.6202087402344,76.7173843383789,4422.2998046875
2021-07-27,145.93624877929688,91.02999877929688,181.3195037841797,84.77294158935547,257.8399963378906,26.591829299926758,54.76723098754883,47.46000671386719,322.9429626464844,366.6493225097656,147.2423095703125,191.40367126464844,284.2192077636719,49.778263092041016,65.4039535522461,397.84588623046875,76.42901611328125,4401.4599609375
2021-07-28,144.15638732910156,97.93000030517578,181.51600646972656,84.85115814208984,263.5799865722656,26.64118194580078,55.365726470947266,47.576507568359375,322.30059814453125,366.0526428222656,147.48536682128906,190.29588317871094,283.9017639160156,50.00056838989258,65.74083709716797,397.62908935546875,76.75584411621094,4400.64013671875
2021-07-29,144.81265258789062,102.94999694824219,179.99600219726562,84.7044906616211,260.0299987792969,26.84847068786621,55.96615982055664,47.794700622558594,321.7750244140625,369.30010986328125,148.74925231933594,191.51248168945312,284.17950439453125,50.37752914428711,66.2509765625,399.34423828125,76.82312774658203,4419.14990234375
2021-07-30,145.03138732910156,106.19000244140625,166.37950134277344,84.83161163330078,253.61000061035156,26.739887237548828,55.84026336669922,47.52812576293945,319.3417663574219,366.6884460449219,147.56314086914062,190.59262084960938,282.6024169921875,50.04889678955078,65.9429702758789,397.3924865722656,76.96732330322266,4395.259765625
2021-08-02,144.693359375,108.62999725341797,166.57400512695312,85.03334045410156,253.91000366210938,26.670793533325195,55.472259521484375,47.43729782104492,319.536376953125,369.9261169433594,146.9700927734375,188.88143920898438,282.5131530761719,50.29054260253906,66.2509765625,396.584228515625,77.0300064086914,4387.16015625
2021-08-03,146.5228729248047,112.55999755859375,168.31199645996094,85.05294036865234,254.33999633789062,26.886966705322266,55.92935562133789,47.8045654296875,318.9329528808594,372.0487060546875,148.64231872558594,191.83888244628906,284.79449462890625,50.64817428588867,66.73223876953125,399.7877502441406,77.08787536621094,4423.14990234375
2021-08-04,146.11521911621094,118.7699966430664,167.73599243164062,85.05294036865234,264.2099914550781,26.66092300415039,55.18850326538086,47.6367301940918,315.3414611816406,369.6033020019531,147.03817749023438,187.83297729492188,284.189453125,50.50318908691406,66.67449188232422,397.8755187988281,77.08787536621094,4402.66015625
2021-08-05,146.22457885742188,112.3499984741211,168.79949951171875,84.85707092285156,265.6199951171875,26.83859634399414,55.8625373840332,47.89244079589844,316.9181823730469,375.902587890625,148.8950958251953,188.60447692871094,287.175048828125,50.76416015625,67.02099609375,400.3595275878906,77.0203628540039,4429.10009765625
2021-08-06,145.5275115966797,110.11000061035156,167.2469940185547,84.45555114746094,260.739990234375,26.95704460144043,56.43778991699219,47.95562744140625,318.13482666015625,389.1956787109375,153.12425231933594,188.0901336669922,287.1155700683594,50.56118392944336,66.65524291992188,401.04949951171875,76.63458251953125,4436.52001953125
2021-08-09,145.47772216796875,107.58000183105469,167.093505859375,84.29887390136719,263.55999755859375,26.887950897216797,56.072689056396484,47.94279098510742,312.8984680175781,391.14215087890625,152.95896911621094,185.94375610351562,285.99468994140625,50.50318908691406,66.60711669921875,400.6650695800781,76.40311431884766,4432.35009765625
2021-08-10,144.9897918701172,106.4800033569336,166.03399658203125,84.17153930664062,252.6699981689453,27.026140213012695,56.65375518798828,47.99216079711914,309.3653259277344,399.0553894042969,154.83534240722656,187.66482543945312,284.1199951171875,50.60951232910156,66.78999328613281,401.16778564453125,76.40311431884766,4436.75
