Ticker,Beta,Alpha,StderrA,StderrB,Alpha Opt,Sharpe,CAPM, ADJ_CAPM,Ann Returns,Weights
AAPL,1.2685741548808636,0.0007739701861359,0.0006317469471438,0.0501771621640595,1.225126911392461,24.73001803110756,0.0668416673416304,0.0668815531212027,0.0760267826790845,0.028627830114791353
AMD,2.103994750910134,0.001208450322014,0.0015607363561944,0.1239631178182599,0.7742821631711124,16.75286357573561,0.1098942323374028,0.1099565086162975,0.10713920008519964,0.02615028600224061
AMZN,1.568412960157492,-0.0008740029267698,0.0010928082807075,0.0867974409107909,-0.7997769985819999,17.731778046458285,0.0822935603327562,0.082248519465928,-0.3673923912520654,0.0007319131650253378
BND,0.0263707611199856,-0.0004215680841764,0.0002407022864502,0.0191180309063252,-1.7514087231723083,-0.1316457210746593,0.0028259576475573,0.0028042325579073,-0.10870918047086604,0.011524110139205328
CRWD,1.846936223807855,0.0001075616526853,0.002009607298423,0.1596151619805087,0.0535237171808178,11.393515270702258,0.096646978201714,0.0966525212839234,-0.1461683085097964,0.006632193283846712
DFAC,0.9826798741072552,5.568842610170964e-05,0.0001478135161081,0.0117402431485158,0.3767478615486231,81.28192495348749,0.0521083914762432,0.052111261323594,-0.07815850353698588,0.010651205741569183
DFAS,1.0158333858072188,7.108187319213988e-05,0.0004324949703604,0.0343513654652871,0.1643530631880112,28.745246493279627,0.0538169245481892,0.0538205876814422,-0.07738971481279151,0.04888751716111775
DFUS,1.0128669668345385,3.218982681076128e-06,5.51743089621508e-05,0.0043822772086202,0.058342057048405,224.63302501284903,0.0536640531128511,0.0536642189999045,-0.09421286296702187,0.02162104636508895
ESS,0.6845671848593842,-0.0003743653278175,0.0007613626349902,0.06047202376566,-0.4917043608560049,10.843474034747478,0.0367454521485435,0.0367261596057397,-0.15856403891367166,0.06370782342683208
GS,1.0065822869621794,-0.0002405642971426,0.0007880016887177,0.0625878584757793,-0.3052839868072689,15.624048281560269,0.0533401784203089,0.05332778117982,-0.15505664025194563,0.022235874571273517
JPM,0.8883648352628918,-0.0005919391439909,0.0008143261658566,0.0646787076112696,-0.7269066975985374,13.285777156888884,0.0472479602644378,0.0472174552725914,-0.23251230591912253,0.01142239176533751
LOW,0.8465673022748385,0.0003112833185947,0.0009490237772223,0.0753772063047144,0.3280037087224473,10.857560603731825,0.0450939661994315,0.0451100078739719,-0.0009789300587674029,0.0033028804822392097
MSFT,1.2134417861925515,0.0002939106029223,0.0006279858882702,0.0498784361284833,0.4680210310646992,23.76316879186636,0.0640004758536469,0.0640156222426579,-0.03977588395369407,0.026634986512319145
VEA,0.7632115432150283,-0.0004893667169643,0.0003788198507348,0.0300881629380611,-1.2918190955808448,24.403489771362555,0.0407983105120432,0.0407730914876512,-0.19492255947697232,0.38139479428865825
VGK,0.8226459915470969,-0.0004900780703206,0.0005190468801795,0.0412258414469082,-0.9441884520163536,19.25224290446352,0.043861205372388,0.0438359496891121,-0.20067777666808767,0.02846412944129905
VOO,0.998352533820572,5.570421968529859e-05,2.986905357801535e-05,0.0023723808272395,1.8649475966757385,408.84761287203673,0.0529160663219093,0.0529189369831666,-0.07962488402153542,0.07176762374650994
VWOB,0.2879676416945866,-0.0008627827270217,0.000336541089338,0.0267301280851922,-2.56367722799868,9.675930401203132,0.0163070912910888,0.0162626286460344,-0.24443748083190542,0.1923386123895063
SP50,1.0000000000000002,-3.2526065174565133e-19,1.7398223008357725e-19,1.3818720631792969e-17,-1.869505015480048,7.030564014477398e+16,0.053000966844,0.053000966844,-0.09381690756450181,0.043904781403139706
