,Ticker,Beta,Alpha,StderrA,Alpha Opt,Sharpe,CAPM, ADJ_CAPM,StderrB
0,AAPL,1.2752537049923782,0.0034826095202123,0.0029900552793381,1.164730814268837,10.862033704268823,0.06718589127707722,0.06736536407609184,0.1151046248384618
1,MSFT,1.1744876797147412,0.0022813289772883,0.0029448196189251,0.774692263874898,10.129412301754838,0.06199301493041948,0.06211058093793505,0.1133632410730379
2,GOOG,1.1988924844257407,0.0016072162365768,0.0037874770921866,0.424350087791268,8.038527995908161,0.06325069213639613,0.06333351841793187,0.1458020300804968
3,GOOGL,1.2165653632513946,0.0021379677927772,0.0038109814789542,0.5610018848383109,8.113031705736251,0.06416144627379737,0.06427162430603035,0.1467068506835274
4,AMZN,1.482886864020078,-0.005061020889471,0.0046847792964982,-1.08031148729974,8.036621823832911,0.0778860584944107,0.0776252438438927,0.1803444127273072
5,TSLA,2.164464194577137,0.0099342510876271,0.0084832030166066,1.1710495514701167,6.5711688914560495,0.11301046464733816,0.11352241634288793,0.3265678422076388
6,UNH,0.7872863564549619,0.0067905298043211,0.0042044692133288,1.615074212648317,4.730242078955938,0.042038981937550006,0.04238892510048589,0.1618544830222028
7,META,1.1737655617977325,-0.0098712691348447,0.0068049352618562,-1.4506044150304067,4.33433183494987,0.06195580130568435,0.06144709532208926,0.2619615516069549
8,JNJ,0.4744483143338371,0.0025448048782463,0.0025564788434126,0.9954335764614752,4.5575658017092735,0.02591718627487996,0.026048330249475504,0.098413745127688
9,V,0.953674860931916,-0.0003273651616045,0.0045966306918142,-0.07121850406374401,5.226764369099099,0.050613647127265356,0.05059677669102723,0.1769510600551
10,NVDA,2.244179514282541,0.0022963180910566,0.0063104312138449,0.3638924208568419,9.130422484409694,0.11711851393303645,0.11723685238954097,0.2429252136098714
11,XOM,0.309264513756599,0.0091067233675149,0.0062241722691594,1.463121998187367,1.20993182576703,0.017404604295932574,0.017873910177954085,0.2396046049456795
12,PG,0.6765607096776327,0.003220427651932,0.0032879949137795,0.9794503143650449,5.145723884304262,0.036332846456527124,0.03649880797514178,0.1265740548800603
13,JPM,1.0424608135165432,-0.0028412494019485,0.004109577741899,-0.6913725887165194,6.3915524965004735,0.055189142407761536,0.05504272146108152,0.1582015581767067
14,WMT,0.7406049785782474,0.0002912141922841,0.0047038341285044,0.061909962028506425,3.9343841481951243,0.039633303810051396,0.03964831124223656,0.1810779440785808
15,MA,0.8796582754908412,-0.0001964195554742,0.0047888528376715,-0.04101599321012039,4.616176414904686,0.046799276413145005,0.046789154127773194,0.1843508088615669
16,LLY,0.7869005444983936,0.009219378666518,0.0053599733574618,1.720041882984995,3.7203970095893326,0.042019099504180216,0.04249421096438055,0.2063365606375561
17,CVX,0.4066146516332458,0.0087442552180224,0.0062844094652519,1.3914203500538298,1.5992366623108631,0.022421446301267686,0.022872072749673254,0.2419234851033343
18,PFE,0.6791921763940784,0.0086403580250756,0.0060911946879964,1.4184997307839633,2.8119711732337014,0.03646845646229243,0.03691372867275668,0.23448552413889
19,HD,0.8777446362433093,0.0005580452368637,0.0045281882151788,0.12323808338909009,4.875256234210007,0.0467006589281627,0.046729417231399235,0.1743163109082987
20,ABBV,0.6630508532697628,0.0077870870592515,0.0039183589001091,1.987333794011233,4.25861905980873,0.03563662951640395,0.03603792926091542,0.1508404323813517
21,KO,0.6370858490267719,0.0049840043214514,0.0030949117874884,1.6103865517588942,5.150225525943815,0.03429854898774566,0.03455539466644734,0.1191411619272296
22,BAC,0.938328399228632,-0.001432675916754,0.0047868379114238,-0.29929484625642233,4.9297972421952165,0.04982278256984832,0.04974895104915432,0.1842732426267816
23,MRK,0.2100432302320271,0.0050907601112948,0.0051936454634328,0.9801901471976879,0.9336497729119695,0.012291334670777282,0.012553681902352749,0.1999336322453346
24,PEP,0.6364994272582299,0.0047145358834445,0.0027482122397538,1.7154919169804925,5.791859933121576,0.03426832832832562,0.03451128722054305,0.1057946791215699
25,VZ,0.1086367662888141,-0.0005605543277269,0.0036842470069248,-0.15214895382239543,0.561314788905204,0.007065453957927745,0.007036566351202668,0.1418281034717792
26,TMO,0.8824417660863921,0.0036380387787383,0.0039830423946963,0.9133818870676856,5.593237722777773,0.04694272081749613,0.04713020350791963,0.1533304764381109
27,COST,1.2056160252043386,0.0071337311580537,0.0044543015504828,1.6015375423517246,6.906572920315422,0.0635971830868804,0.06396481278837951,0.1714719832869449
28,AVGO,1.2821497798368295,0.0045852841544189,0.0038910506187318,1.1784180170633118,8.4002668480801,0.06754127359811117,0.06777757163172499,0.14978917774247
29,ABT,0.7967573802065778,0.0006406841750181,0.0041083715459811,0.15594601604249533,4.861885227862179,0.042527061675565775,0.042560078693841166,0.1581551246777792
30,ACN,1.1423605160470096,0.0008793886496833,0.0033871053067619,0.25962837586647186,8.5495752367699,0.06033737367796659,0.06038269209263937,0.1303893905632046
31,ORCL,0.8685040558918042,-0.0012369918222192,0.0043536981586667,-0.28412438739162,5.004804302394023,0.04622445486032824,0.046160707723762,0.1675991733919244
32,DHR,1.0342642446062156,0.0017995561174414,0.0041720800298968,0.4313330771571785,6.27366065969186,0.05476674042553672,0.054859478750492935,0.1606076349008565
33,MCD,0.723871650474399,0.003492241490379,0.0026250296187443,1.3303626996976654,6.916174883404244,0.038770968479547675,0.03895093765251287,0.1010526633214298
34,CSCO,0.7118786633906575,-0.001826977722785,0.004007054409994,-0.45594033318547716,4.418569244112905,0.038152921883174144,0.03805877041320814,0.1542548386168182
